group,graph_hash,edge_count,degree_sequence,d_min,d_mean,d_max,union_vertices,all_vertex_disjoint
target_clean,a2271f292daf410beecb1630b5a7cf830daefd68cafa79204db16510ab5589df,48,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3",2,6.166666666666667,9,16,True
target_clean,df3eefa174c7e0a20507e20c5ba6b41d7301f707d3e3292a7b76b2af45a392b6,49,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4",4,7.0,10,16,True
target_clean,25e2fcc128b76e4ed9a7685c53633f9e55e546db6c2a936b0996977d3fd0527e,49,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4",4,5.833333333333333,9,16,True
target_clean,59bcd487580007b8450ca5a5ad21778ef51ff80054277fa9d96e4824a3bc7ffd,49,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4",4,6.833333333333333,10,16,True
target_clean,6710c97e91e51f42fda1913fc63e92dec134fb92916783acb68a6b9266871c92,48,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3",1,7.0,9,16,True
target_clean,0a904f7539460a39700e204773cfaf90a69550464b5abc50207fe3b2d315fca6,49,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4",4,6.833333333333333,11,16,True
target_clean,fb5580ae6118b332d84758d3a38e514576126e58deaa7356faf909b7a5b5ad0a,48,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3",2,6.333333333333333,9,16,True
target_clean,6473c84b84b83ce348cf2d96fe7548ca9fff609e15c1b2581085b91f765bafcb,48,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3",1,6.5,9,16,True
target_clean,023b449b96212dc0efaedde030aa38ebab13ac9a4264cee1a20b8366f442a671,48,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3",4,7.0,9,16,True
target_clean,db922ac949fca3bcf52f2233849d88fec31cbd68b42e506f695b26d03ab62754,48,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3",4,7.333333333333333,12,16,True
target_clean,05799e852731106dd2d25043af9af4da19025cf1d2971d88a799c077fbac3caa,48,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3",1,6.666666666666667,8,16,True
target_clean,af9f1ec88c4c229368a39e872fa4a35bc6661e938891fd29c90d5b339a159470,48,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3",3,7.666666666666667,11,16,True
target_clean,219c9d3769357510d16c18bfc123e07cefff17c27a689a381bad296eaa4009ce,48,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3",3,7.833333333333333,12,16,True
target_clean,63ec1838fb37377658e7d2cdba6756ef97b0b566efaca28a52827cea0d70da23,49,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4",4,6.333333333333333,10,16,True
target_clean,db908e86d3cfe1945681f1d520355c0fdeb7ccfcbe68e0789445947a9b35cd08,48,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3",3,7.833333333333333,12,16,True
target_clean,6f782379b510a008e4611928d157f01d061a7c2435e9a6ceaa43c0159613ee6d,49,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4",3,6.666666666666667,11,16,True
target_clean,a6c958ebd4dbb2c765112eb9ed473425a3ccac50b30cb2071b9c4da6f76ce1fc,49,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4",2,5.0,9,16,True
